temperature,humidity,fan_status
22.4,80.8,ON
12.3,50.5,OFF
25.2,65.2,OFF
28.2,95,ON
23.6,50.6,OFF
31.6,,ON
19.7,48.8,OFF
19.7,-40,ON
20.2,64.9,OFF
26.3,26.1,OFF
10.9,40.9,OFF
30.7,27.4,ON
22.7,48.5,OFF
21.3,41.8,OFF
22.1,45.9,OFF
-55,43.9,OFF
26.7,71.5,ON
25.7,46.7,ON
24.4,34.7,OFF
18.5,58.6,OFF
24.6,,OFF
22.9,71.4,ON
33.1,73.6,ON
27.4,40.2,OFF
15.8,61.2,OFF
28.8,72.4,ON
14.4,55.1,OFF
23,66.6,OFF
26.4,59.3,OFF
24,73.3,ON
26.7,60,OFF
22.4,91.5,ON
16.3,56.9,OFF
23,53.3,OFF
28.5,,ON
25.1,58.9,OFF
19.3,15,OFF
16.7,59,OFF
-999,52.3,OFF
22.1,55.1,ON
32.7,42.8,ON
13.4,60.2,OFF
28.2,47,ON
23.5,67.1,OFF
32.6,56,ON
26.6,34.8,OFF
29.5,59.1,ON
27,47.7,OFF
26.1,44,OFF
18.6,84.8,ON
15.5,58.5,OFF
23,71.4,ON
20.9,48.3,OFF
21.7,55,OFF
25.8,20.6,OFF
22.3,37.5,OFF
28.2,72.2,ON
17.2,72.2,ON
18.4,47.5,OFF
23.8,59.7,OFF
27.8,40.3,OFF
2.4,91.7,ON
27.2,35.1,OFF
20.7,57.7,OFF
38.6,71.4,ON
26.1,35.7,OFF
27,56.1,OFF
22.4,150,OFF
24.1,63.5,OFF
37.4,36.7,ON
25.9,37.6,OFF
19.3,51,OFF
28.4,61.9,ON
22.9,63.2,OFF
26.3,67.2,OFF
,43,OFF
25.6,50.7,OFF
30.3,35.6,ON
28.5,-40,ON
,19.6,OFF
21.9,67,OFF
27,34.1,OFF
22,19.2,OFF
28.3,67.2,ON
19.7,82.7,ON
14.7,43,OFF
23,46.9,OFF
27.5,47.1,OFF
21.3,94.5,ON
28.8,62.9,ON
30.4,49.9,ON
33,49.7,ON
18.8,70.2,ON
26.4,48.6,OFF
24.3,22.6,OFF
24.8,38,OFF
8.7,30.1,OFF
17.2,38.2,OFF
17.9,57.4,OFF
17.1,58.6,ON
18.2,63.9,OFF
27.2,41.6,OFF
22.2,48.9,OFF
14.9,59.1,OFF
22.9,85.8,ON
,52.5,OFF
11.3,65.1,OFF
30.9,83.5,ON
17.8,61.3,OFF
27.8,72.4,ON
26.2,52.7,OFF
13.4,21.8,OFF
250,43.6,ON
24.2,57.1,OFF
26.6,40.1,OFF
28,27.6,OFF
18.6,50.9,OFF
17.2,81.2,ON
30,70.2,ON
12.6,53.7,OFF
27.3,52.2,OFF
29.6,68.5,ON
31.5,48.4,ON
21.7,51.9,OFF
22,63.1,OFF
19,61.1,OFF
25.8,58,OFF
17.1,66.9,OFF
32.9,63.7,ON
22,60.5,OFF
22.5,43.1,OFF
19.5,15,OFF
24.1,57.5,OFF
28.6,68.9,ON
19,35.3,ON
13,36.7,ON
21.8,72.4,ON
19.9,37.4,OFF
27.1,74.1,ON
21.5,59.5,OFF
28.3,45.9,ON
24.5,54.7,OFF
23.8,50.1,ON
35.6,65.6,ON
27.5,54.9,ON
14,70.4,ON
21.2,48.3,OFF
31.5,63.5,ON
21.8,79.1,ON
13.9,59.5,OFF
26,35.3,OFF
22.8,50.3,OFF
23.8,41.6,OFF
25.1,86.2,ON
25.5,52.8,OFF
29.7,55.2,ON
21.1,72.9,ON
19.9,84.3,ON
27.6,52,OFF
14.9,54.9,OFF
23.1,71.3,ON
22,30.3,OFF
21.3,45.6,OFF
29.1,30.6,ON
23.3,68.6,OFF
26.9,56,OFF
23.3,83.2,ON
24.2,45.8,OFF
27.2,23.3,OFF
21.9,51.6,OFF
22.2,69.5,OFF
18.8,33,OFF
21.3,81.3,ON
21.4,45.5,OFF
30.7,61.8,ON
,66.9,OFF
20,49.5,ON
36.8,48.8,ON
16.3,63,OFF
23.4,66.4,OFF
27.8,69.4,OFF
22.7,58.9,OFF
28.7,55.5,ON
23.9,57.7,OFF
,34.6,OFF
24.8,47.7,OFF
22.2,59.5,OFF
21.8,73.7,ON
30,64.4,ON
24.6,65.7,OFF
29.4,49.4,ON
20.4,,OFF
24.3,67.4,OFF
25.3,55.3,ON
,49.7,ON
23.1,37.4,OFF
26.1,59.1,OFF
14.5,57,OFF
26,57.6,OFF
18.5,57.2,OFF
23,87.2,ON
23,78.2,ON
26.6,51.3,OFF
18.7,42.2,OFF
25.3,38.2,OFF
27.7,51.9,OFF
30,41.3,ON
23.5,51.8,OFF
28.1,,ON
15.6,43.5,OFF
15.3,79.4,ON
20.2,71,ON
32.6,56.7,ON
18.5,51.1,OFF
26.2,40.4,OFF
17.3,70,OFF
120,62.3,ON
25.7,72.2,ON
22.6,59.9,OFF
15.7,36.1,OFF
22.9,32.7,OFF
26.8,38.4,OFF
23,82.8,ON
25.2,29,OFF
23.3,-40,ON
18.7,61,OFF
17.8,26.1,OFF
23.5,73.2,ON
32,73.7,ON
22.3,50.9,ON
23.6,50.1,OFF
22.3,54.6,OFF
22.5,62.4,OFF
26.4,73.7,ON
23,77.4,ON
20.3,39.9,OFF
17.3,66,OFF
24.6,63.4,ON
29.4,69.9,ON
-55,52.5,OFF
17.9,72.2,ON
28,64.5,ON
31.2,56.5,ON
22.9,73.9,ON
,36,OFF
28,41.5,OFF
24.4,54.1,OFF
24.2,65.5,OFF
25.3,58.8,OFF
17.3,51.2,OFF
28.2,73.9,ON
29.7,51,ON
21.8,69.8,OFF
28,53.2,OFF
33.7,48.4,ON
20.6,73.3,ON
28.1,40.9,ON
20,61.1,OFF
15.4,55.8,OFF
18.2,51.4,OFF
22.6,55,OFF
25.5,56.3,ON
20.5,70.9,ON
21,76.2,ON
27.5,63.1,OFF
20.5,59.9,OFF
27.1,39.4,OFF
26.3,58.6,OFF
120,60.4,OFF
17.4,55.1,OFF
19.3,61.3,OFF
20.7,43.1,OFF
13.4,61,OFF
22.7,41.3,ON
-55,58.4,OFF
21.7,57.5,OFF
23.1,60.6,OFF
23.6,52.9,OFF
30.5,68.5,ON
29.9,42,ON
19.7,42.9,OFF
15.8,53.5,OFF
15.7,61.1,OFF
22.2,33.5,OFF
20.4,27.2,OFF
27.7,62,OFF
26.7,46.3,OFF
13,46.9,OFF
28,75,ON
23.8,77.2,ON
18.7,58.7,OFF
15.9,46.3,OFF
35.9,56.5,ON
24.4,38.4,ON
27.6,68.9,OFF
23.9,71,ON
18.7,67.3,OFF
120,32.6,ON
24.1,43.5,OFF
38.7,18.1,ON
28.2,52.2,ON
20.8,47.7,OFF
21.8,57.1,OFF
24.4,53,OFF
40,63.5,ON
17.3,65.8,OFF
24.1,83.4,ON
23.8,34.7,OFF
25.4,49.3,OFF
25.6,59.8,OFF
33.8,68.2,ON
25.2,24.2,OFF
33.9,64,ON
21.7,45.7,OFF
22.7,,OFF
29.9,42.4,ON
21.5,70.8,ON
21.3,52,OFF
17.6,21.9,OFF
18.5,61.4,OFF
28.4,59.5,ON
33.4,78.3,ON
28.9,49.6,ON
19,,OFF
20.1,23.1,OFF
17.5,74.6,ON
22.2,18.6,ON
22.7,59.5,OFF
22.8,60.4,OFF
24.9,55.3,OFF
29.1,49.1,ON
25.2,41.1,OFF
27.8,,OFF
24.2,42,OFF
22.7,58.6,OFF
24,51.4,OFF
24.4,60.2,OFF
19.4,70.3,ON
33.9,51,ON
15.3,40.4,OFF
24.1,47,OFF
20.9,58.8,ON
26.8,77,ON
16.1,70.6,ON
29.9,54.6,ON
28.2,65.7,ON
22.8,52,OFF
30.3,61.1,ON
29.6,47.7,ON
20.2,52.4,OFF
27.4,150,OFF
21.2,37.7,OFF
23.6,51.2,OFF
16.3,57.2,OFF
27.8,60,OFF
30.1,75.1,ON
23.7,53.3,OFF
28.6,,ON
26.4,61.2,OFF
14.9,84.3,ON
23.7,65.5,OFF
13.5,80.7,ON
15.5,57.9,OFF
21.4,53.3,OFF
19.4,48.2,OFF
23.1,51.3,OFF
8.8,56.5,OFF
30.3,51.2,ON
250,75.7,ON
27.3,51.8,OFF
29.8,43.2,ON
28.2,58.4,ON
22.2,48.2,OFF
25.2,62.4,OFF
25.3,30.1,OFF
25.2,999,OFF
23.5,44.7,OFF
33.1,37.3,ON
25.8,51.4,OFF
14.3,37.9,OFF
19.1,58.4,OFF
18.8,70.3,ON
19,52,OFF
25.1,63.5,OFF
21.1,31.8,OFF
24.3,65.4,OFF
23.3,53.3,OFF
,67.6,ON
23.5,63.1,OFF
30.5,88.8,ON
26.2,23.5,OFF
31.2,50.4,ON
39.5,56.8,ON
23.3,48.8,OFF
18.8,65.9,ON
25.8,94.4,ON
28,33.4,OFF
21.1,52.4,OFF
34.1,54.5,ON
21.7,59.7,OFF
26.4,38.6,OFF
31.7,65.6,ON
20.8,39.3,OFF
28.9,59.2,ON
30.5,67.1,ON
18.2,51,OFF
22.5,81.5,ON
31.7,47.7,ON
21.9,59.1,OFF
23.8,57.2,OFF
15.6,40.4,OFF
23.1,31.4,OFF
29.7,58.1,ON
11.4,71.7,ON
22.7,53.3,OFF
23,45.9,OFF
21.8,84.4,ON
20.1,65.8,OFF
24.3,64.3,OFF
27.4,58.4,OFF
28.8,49.2,ON
25.3,50.7,OFF
20.4,50.5,OFF
28.8,60.9,ON
20.3,75.7,ON
22.8,42.1,OFF
21.6,58.3,OFF
22.8,31.6,OFF
23.4,56.2,OFF
29.4,61.3,ON
17.1,68.1,OFF
14.1,46.3,OFF
23.5,54.1,OFF
17.1,77.8,ON
33.4,56.1,ON
28.2,51.8,ON
25.3,69.1,OFF
37.6,37.5,ON
16.2,76.9,ON
25.9,59.7,OFF
21.5,15,OFF
27.5,46.2,OFF
22.9,50.7,OFF
15.6,61,OFF
17.9,59.8,OFF
32.9,45.8,ON
15.4,65.8,OFF
26.1,49.5,OFF
22,48.8,OFF
27.8,59.1,OFF
33.8,150,ON
17.5,180,OFF
23.9,37.3,OFF
17.9,33.4,ON
28.2,36.1,ON
23.2,37.4,OFF
15.1,53.3,OFF
20.3,35.5,OFF
23.8,,OFF
23.4,51.6,OFF
16.5,63.4,OFF
18.1,41.2,OFF
30,60,ON
20.9,49.4,OFF
22.2,68.2,OFF
-999,30.5,OFF
8.7,58.2,OFF
24.8,58.8,OFF
29.6,65.3,ON
27.9,50,OFF
21.8,,OFF
30.5,70,ON
17.8,66.8,OFF
33.7,59.4,ON
28,44.8,ON
22.7,39.2,OFF
22,63.4,OFF
17.3,56.5,OFF
12.4,63,OFF
27.1,50.6,OFF
29.4,64.1,ON
25.2,47,OFF
23,92.8,ON
-999,34.9,OFF
19.5,87.9,ON
25.5,58.8,ON
26.9,78.1,ON
24,49.3,OFF
28.9,71.9,ON
24.3,61,OFF
18,42.1,OFF
,47.4,OFF
27.7,56.5,OFF
27.9,57.2,OFF
15.5,47.8,ON
24.2,44.2,OFF
34.4,51.5,ON
25.8,78,ON
26.1,48.8,OFF
31.4,66.1,ON
22.9,42.2,OFF
25.9,-40,OFF
19,62,OFF
19.8,44.4,OFF
30,34.2,ON
25.9,67.3,OFF
22.1,63.4,OFF
29.6,999,ON
23.3,51.3,OFF
25.1,25.8,OFF
20.2,75.4,ON
30.4,70.7,ON
22.1,38.9,OFF
30.2,75.3,ON
18.9,39,OFF
20.6,51.7,ON
21.1,77.4,ON
15.9,35.3,OFF
12,49,OFF
25.4,26.9,OFF
27.2,45.4,OFF
29.9,39.6,ON
23.2,51.2,OFF
26.3,52.6,OFF
28.5,48.5,ON
28.1,73.8,ON
15,48.1,OFF
26.8,35.5,OFF
23.7,40,OFF
24.9,180,ON
25.3,67.7,OFF
25,56.1,OFF
21.5,15,OFF
,32.1,OFF
22.8,73.8,ON
19.5,48.2,OFF
19.8,52.2,OFF
85,65.9,OFF
21.6,71,ON
27.8,47.2,OFF
31.8,92.5,ON
24.7,50,OFF
31.5,67.5,ON
22.8,76.9,ON
19.8,60.1,OFF
26.8,77.9,ON
15.6,45.4,OFF
25.3,67.6,OFF
24.6,58.7,OFF
16.1,38,ON
15.5,52.2,OFF
26.8,57.2,OFF
20,44,OFF
32.4,34.2,ON
25.1,63.5,OFF
27.4,36.8,OFF
29.8,49.6,ON
25.3,73.4,ON
26.3,42.1,OFF
26.1,75.5,ON
22,,ON
23.2,44.5,OFF
34.4,31.1,ON
25.8,85.2,ON
25,59.3,OFF
27.4,50.6,OFF
26.2,44.4,OFF
21.9,35.1,OFF
30.2,82.7,ON
19.9,38.6,OFF
20.6,76.5,ON
21.7,89.1,ON
20.4,52.5,OFF
29.6,60.1,ON
30.9,64.9,ON
12.7,59.7,OFF
19.1,44.3,OFF
25.6,41.4,OFF
20.8,72.8,ON
22.2,55.9,OFF
16.8,34.5,OFF
19.1,62.7,OFF
24,29.5,ON
23.2,52.7,OFF
30.7,50.7,ON
15.2,86.6,ON
26.1,51.6,OFF
22.5,44.5,OFF
18.9,38.5,OFF
22.1,72.2,ON
19.1,53.9,ON
22.1,48.6,OFF
250,58.4,OFF
32.1,77.7,ON
23.2,45,OFF
23.7,46.6,ON
17.2,59.5,OFF
16.3,53.4,OFF
22.7,18.8,OFF
18.6,64.5,OFF
21.6,61.1,OFF
20.9,65.4,OFF
11.8,68.6,OFF
21.4,36.6,OFF
28.3,64.1,ON
24.7,40.2,OFF
16.8,58.2,OFF
20,53.8,OFF
18.7,58.4,OFF
19.4,46.1,OFF
28.8,56.6,ON
27.9,93.4,ON
10.3,52.6,OFF
19.8,50.9,OFF
27.7,65.4,OFF
15.2,39.3,OFF
24.3,60.2,OFF
18.2,68.1,OFF
23.5,40.7,OFF
26.4,49.1,ON
25.9,67,OFF
21.2,61,OFF
25.2,69.6,OFF
26.8,81.3,ON
20.7,71.3,ON
21.8,34.6,OFF
29.4,,ON
17.3,44.7,OFF
25.1,79,ON
23.9,41.2,OFF
21,26.3,OFF
24.5,69,OFF
27.5,35.7,OFF
38.2,17.3,OFF
18.4,53.5,OFF
28.5,60,ON
19.9,84.8,ON
27.9,78.5,ON
25.6,43.1,OFF
22.6,37.1,OFF
23.5,42.7,OFF
26.1,40.5,ON
21.6,46.1,OFF
21,61,OFF
28.1,41.8,ON
14.8,50.1,OFF
28.1,37.8,ON
25.8,65.4,OFF
27.2,40.7,OFF
,66.9,ON
29.2,44.3,ON
21.4,57.1,OFF
26,41.9,OFF
24.2,45.1,OFF
31.3,86.7,ON
25.9,50,OFF
26.1,66.4,OFF
20.9,73,ON
24.1,-40,OFF
26.7,76.4,ON
24.5,40.2,OFF
26.1,55.6,OFF
14.9,61.9,OFF
20,75.7,ON
30,35.3,ON
30.8,63.4,ON
34.7,55.2,ON
27,26.2,OFF
19.1,43.8,OFF
23.8,59.3,OFF
23.2,50.8,OFF
19.4,42.8,OFF
18.1,45.4,OFF
25.1,77.1,ON
12.2,49.7,OFF
23.5,51.4,OFF
26.7,72,ON
,68.4,ON
33.4,61.1,ON
19.8,73.3,ON
27.8,35.5,OFF
25.2,40.4,OFF
24.9,50.2,OFF
20.7,64.8,OFF
21.1,53.4,OFF
21.5,44.8,OFF
21,67.7,OFF
24.8,61.8,ON
26.3,51.4,OFF
22.7,65.1,OFF
23,59.8,OFF
14.5,42.7,OFF
32.1,31,ON
26.3,84.6,ON
24.2,51.5,ON
18.8,41.8,OFF
29.5,49.1,ON
32.6,56.9,ON
24.7,70.3,ON
29.5,61.5,ON
24,31.2,OFF
25,54.3,ON
27.1,65.3,OFF
23.7,71.6,ON
14.7,66.6,OFF
18.3,,OFF
21.3,45.9,OFF
29.1,41.5,ON
20,61.6,ON
20.9,180,OFF
20.3,49.6,OFF
29.7,66.9,ON
25.6,47.4,OFF
25.9,40.7,OFF
22.1,78.6,ON
32.9,73.1,ON
28.7,77.9,ON
29.4,70.7,ON
23.6,72.9,ON
25.9,56.2,ON
19.2,68.6,OFF
21.7,51.7,ON
16.2,56.1,OFF
19.8,53.1,OFF
11.9,42.6,OFF
26.9,48.8,OFF
19,55.5,OFF
21.9,82.4,ON
23.4,29.9,OFF
26.3,23.1,OFF
27.2,66.9,OFF
26.7,45.6,ON
18.4,70.2,ON
23.8,78.8,ON
24.3,20.9,OFF
19,71.7,ON
28.2,70.3,ON
15.5,42.4,OFF
30.1,58.5,ON
25,63.5,OFF
19.4,48.1,ON
24.7,67.8,OFF
23.6,51.5,OFF
27.6,67.1,OFF
19.4,60.8,OFF
23.9,45,OFF
27.4,51,ON
,38.8,OFF
26.7,36.4,ON
26.2,36.4,OFF
22.6,30.5,OFF
23.2,55.6,OFF
25.5,66.5,OFF
22.8,47.6,ON
85,56.9,OFF
26.6,64.9,OFF
18.7,58.1,OFF
14.9,50.5,OFF
18.8,31.2,OFF
29,75.3,ON
120,50.3,OFF
17.9,55.7,OFF
27.8,84.1,ON
21,57.2,OFF
24.5,74.1,ON
39.3,50.1,ON
28.6,36.6,ON
21.8,64.1,OFF
16.7,55.2,OFF
22.2,41.1,OFF
34.8,45.9,ON
30,55.5,ON
18.2,34.4,OFF
24,66,OFF
19,75.3,ON
20.4,39.1,OFF
23,43.8,OFF
27.9,28.4,OFF
28.4,42.1,ON
11.8,46.4,OFF
19.4,62.8,OFF
23.9,63.2,OFF
20.2,72.3,ON
22,66.6,OFF
24.3,71.4,ON
23.4,47.7,OFF
28.6,15,ON
22.2,58.1,OFF
23.9,15.2,OFF
30.8,64.1,ON
25.2,62.8,OFF
16.4,64.3,OFF
22.6,85.9,ON
33.2,19.7,ON
26.5,57.7,OFF
28.7,54.4,ON
12.3,33.5,OFF
25.9,69.3,OFF
26.9,49,OFF
19.8,41.8,OFF
23,58.6,OFF
30,38.1,ON
24.5,79.6,ON
25.6,51.9,OFF
31.8,72.8,ON
,77.9,ON
28.7,68.5,ON
16.7,59.2,OFF
15.7,46.2,OFF
29.9,45.5,ON
30.3,55.1,ON
16.7,58.8,OFF
19.1,70.7,ON
29.5,45.6,ON
14.1,70.7,ON
21.7,31.6,OFF
22,66.6,OFF
21.2,62.2,OFF
30.1,51.1,ON
28.4,70.8,ON
34.7,59.8,ON
20.7,46.5,OFF
21.8,61,ON
16.9,38.5,OFF
20.5,48.7,OFF
35.1,25.5,ON
22.9,50.7,OFF
34.2,58.4,ON
21.7,48,OFF
32.9,42.6,ON
31.8,66.1,ON
26,72.9,ON
29.3,51.8,ON
27.9,59.3,OFF
20,44.9,ON
15,54.8,OFF
-999,24.4,OFF
24.9,59.6,ON
29.3,56.5,ON
27.1,48.7,ON
24.4,51.3,OFF
,81.6,ON
14.4,72.6,ON
27.1,54,OFF
22.4,72.5,ON
25.4,36,OFF
21.1,46.7,OFF
26.2,36,OFF
13.6,70.7,ON
29.6,81.9,ON
17.1,31.8,OFF
22.5,48.7,ON
25.2,38.8,OFF
14.6,46.2,OFF
20.1,59.4,OFF
30.2,73.8,ON
23.5,43.1,OFF
18.1,61,OFF
23,57.3,OFF
22,78.8,ON
,59,OFF
15.8,79.9,ON
25,58.2,OFF
25.3,55.6,OFF
22.1,62.9,OFF
29.9,60.6,ON
,59.8,OFF
20.8,60.9,OFF
28,52.2,OFF
,57.5,OFF
25.8,51.7,ON
26.1,53.1,OFF
19.5,46.5,ON
20.3,39.1,OFF
35.5,45.6,ON
25.3,60,OFF
31.1,54.9,ON
21.1,69.6,OFF
27,48.4,OFF
24.8,46.7,ON
23.8,28.6,OFF
11.3,64.9,OFF
22.4,48.4,OFF
22.6,52.3,OFF
23.2,45.4,OFF
30.8,37.8,ON
15.6,58.7,OFF
21.9,41.6,OFF
24.3,54.5,OFF
20.8,73,ON
32.9,79.9,ON
25.4,55.9,OFF
18.7,54.2,OFF
23.3,52.6,OFF
22,48.5,OFF
19.9,42.2,OFF
25.4,71.2,ON
19.1,60.3,OFF
25.7,41.1,OFF
27.2,54.1,OFF
30.9,63.3,ON
29.7,73.5,ON
24.7,39.9,OFF
30.3,53.6,ON
24.2,43.4,OFF
18.5,48,OFF
21.1,38,OFF
40,53.9,ON
18.5,53.4,OFF
25.2,66.1,OFF
30.4,67,ON
25.8,32.7,OFF
20,45.7,OFF
20.2,46.9,OFF
23.2,67.4,ON
27.9,48.2,OFF
21.6,81.1,ON
22.4,54.6,OFF
30.5,47.5,ON
22.7,43.4,OFF
25,51.3,OFF
31.4,77.5,ON
28.6,70,ON
25.8,76.1,ON
20.9,78.2,ON
16.5,46.8,OFF
22.4,54.3,OFF
23.7,56.5,OFF
,56.5,ON
26.7,56.6,OFF
22.8,65,OFF
20.5,67.6,OFF
16.9,69.8,OFF
24.8,36.2,OFF
29.2,70.8,ON
26.3,53.4,OFF
16.9,30.7,OFF
31.5,46.6,ON
24.1,71.7,ON
21.4,70.6,ON
24.3,65.8,OFF
24.4,48.4,OFF
30.4,41.7,ON
22.4,43.2,OFF
18.1,54.3,OFF
26.2,51.7,OFF
31.6,73.1,ON
,50.8,OFF
25.8,,OFF
29.9,69.5,ON
21.8,56.5,OFF
21.7,65.1,OFF
32.9,42.3,ON
,80.6,ON
24.2,65,OFF
27.5,58.2,OFF
23.8,44.4,OFF
23.9,58.3,ON
16.9,44.9,ON
20.1,75.1,ON
16.8,63.9,OFF
24.8,59.3,OFF
26,37.3,ON
23.3,73,ON
29.7,72.7,ON
20.7,55.6,OFF
18.8,74.4,ON
16.8,52.5,OFF
23.3,45.8,OFF
20.9,58.7,OFF
31.7,84.3,ON
26.1,83.8,ON
24.7,72.5,ON
19.3,63.7,OFF
20.1,64,OFF
33.6,37.7,ON
25.1,30.5,OFF
27.4,39.9,OFF
22.1,32.5,OFF
85,60.8,OFF
19.8,78,ON
27.4,180,OFF
24.4,51.1,ON
23.6,56.6,OFF
24.5,77.1,ON
20,61.5,OFF
19,31.5,OFF
12.6,48.6,OFF
23.8,62.6,ON
40,55.1,ON
25.3,30.4,OFF
14.7,38.5,OFF
13.1,,ON
33.8,92.6,ON
26.3,42,OFF
20.1,53.2,OFF
18.4,61.7,OFF
21.7,58.2,OFF
23.6,46.2,OFF
22.6,73,ON
23.2,30.5,OFF
27.1,44.3,OFF
15.5,63.1,ON
20.7,85.2,ON
25.7,25.5,OFF
9.7,58.4,OFF
26.2,27.5,OFF
36.4,65.5,ON
22.6,74.6,ON
21.1,57.3,OFF
17.2,64,OFF
31.6,48.5,ON
28.3,48.6,ON
28.7,38.8,ON
19.5,67.4,OFF
18.6,,OFF
26.3,63.5,ON
23.3,15,OFF
30.1,33.2,ON
19.1,69,OFF
12.3,57,OFF
26.2,50.2,OFF
27.9,50.8,OFF
-55,56,OFF
22.6,27.4,OFF
29.7,57.6,ON
18.8,67.7,OFF
20.1,53.4,OFF
25.4,70.4,ON
120,65.5,OFF
29,42.4,ON
28.2,40.6,ON
20.8,53.5,OFF
22.1,44.8,OFF
22.8,61.4,OFF
19,63.3,OFF
31,56.5,ON
33.2,53.8,ON
17.9,70.9,ON
24.2,36,OFF
23.5,54.2,OFF
28.5,63.8,ON
23.2,41.6,OFF
23.1,80.9,ON
18.5,44.7,OFF
13.7,61.8,OFF
24.8,47.3,OFF
26.9,47.8,OFF
25,88.2,ON
16.7,37.6,OFF
17,48.9,OFF
26.6,48,ON
27.6,48,ON
,66.9,ON
32.3,51.2,ON
18.9,40.7,OFF
21.3,45.9,OFF
23.7,44.8,OFF
24.5,60.8,OFF
9.3,54.1,OFF
14.7,44.7,OFF
23.3,36.2,ON
30,51.2,ON
25.2,42,OFF
17.2,45,OFF
23.9,68.4,OFF
22.4,77,ON
20.8,55.6,OFF
10.2,48.5,OFF
17,57.7,OFF
22.2,49.6,OFF
21,63.9,OFF
25.7,41.8,OFF
21.1,43.7,OFF
21.3,75,ON
21.7,40.6,OFF
27.1,42.4,OFF
22.1,58.1,OFF
21.6,46.7,OFF
14.9,52.3,OFF
17.7,63,ON
22.6,58.9,OFF
22.3,83.7,ON
32.9,51.9,ON
32.2,44.6,ON
22.2,-40,OFF
14.6,-40,OFF
23.5,40.1,OFF
22.3,52.5,OFF
27.8,65.8,OFF
21.4,74.2,ON
27.6,32.7,OFF
25,59.7,OFF
31.2,79.7,ON
24.4,34.6,OFF
26,47.7,OFF
25.6,61.2,OFF
16.8,50.1,OFF
24,70.8,ON
28.5,,ON
18.9,41.3,OFF
27.6,61.8,OFF
33.2,64.9,ON
11.2,37.3,OFF
24.9,57.2,OFF
26.3,47.9,OFF
26.5,37.3,OFF
18.8,53.5,OFF
24.7,61.1,OFF
27,60.1,OFF
22.6,52.4,ON
22.1,-12,OFF
14.4,74.9,ON
21.9,56.3,OFF
28.3,48.7,ON
25.8,43.1,OFF
19.2,54.3,OFF
26.9,69.8,OFF
17.2,40.2,OFF
30.8,54,ON
21.1,76.9,ON
28.5,20,ON
26.8,30.3,OFF
23.4,81.7,ON
24.3,58.9,OFF
,71.6,ON
21.3,54.2,OFF
34.9,41,ON
24.4,58.9,OFF
23.8,57.2,OFF
22.7,59.3,OFF
24,57.4,OFF
18.9,25.8,OFF
31.2,85,ON
29.8,51.4,ON
27.2,,OFF
32.4,41.3,ON
20.7,51.7,OFF
16.2,81.5,ON
15,50.3,OFF
20.6,61.4,OFF
31.8,38.7,ON
30.2,33.6,ON
32.7,47,ON
28.9,39.1,ON
29.7,38.7,ON
26.1,72.8,ON
20.5,49.7,ON
26.1,72.8,ON
25.4,53,OFF
19.8,51.2,OFF
16,50.3,ON
28.5,68.9,ON
29,34,ON
17.3,44.5,OFF
24.2,47,OFF
21.8,45,OFF
19.5,64.7,OFF
29.5,53.6,ON
32,45.6,ON
20.3,83.2,ON
31.5,999,ON
26.3,49.6,OFF
22.6,74.3,ON
23.3,54,OFF
18.5,41.8,OFF
31.7,71.7,ON
24,61.1,OFF
14.8,67.3,OFF
18.6,69.9,OFF
27,38.4,OFF
30,49.4,ON
30.5,31.9,ON
27.6,52.9,OFF
20.3,36.3,OFF
24.1,54.4,OFF
21.7,48.3,OFF
25.7,18,OFF
21.7,49.2,ON
28,59.9,OFF
,72.7,ON
23.8,43.6,OFF
17.8,47.7,OFF
25.6,43.8,OFF
16.6,74.4,ON
18.4,65.4,OFF
21.6,49.3,OFF
25.8,72.3,ON
24.5,15,OFF
21.8,77,ON
27.7,67.5,OFF
27.8,50.2,OFF
24.1,61.3,OFF
20.2,18.5,OFF
19,51.8,OFF
14.7,43.1,OFF
22.1,75.3,ON
,91.2,ON
38.1,,ON
28,65.3,ON
20.3,31.9,OFF
26.6,65.5,OFF
23.6,74.6,ON
29.3,45.5,ON
20.4,50.2,OFF
17.9,66.6,OFF
24.5,47.9,OFF
25.3,52.3,OFF
19,73.5,ON
23.7,25.7,OFF
22.5,63.2,OFF
13.7,49.1,OFF
29.3,47,ON
22.6,72.3,ON
27.8,65.2,OFF
8,76.3,ON
27.6,59.5,OFF
20.5,58.7,OFF
21.1,65,OFF
25.4,47.7,OFF
22.1,,ON
26,39.4,OFF
23.3,52.9,OFF
26.4,47.1,OFF
16.3,31,OFF
21.3,81.7,ON
21.9,45.7,OFF
22.6,75.9,ON
28.3,57.6,ON
,15,OFF
24.6,52.3,ON
20,53.5,OFF
16.2,42.8,OFF
16.7,66.4,OFF
21.3,59.4,OFF
-55,55.5,ON
31.5,43.6,ON
30.9,61.5,ON
25.1,73,ON
26.5,28.7,OFF
24.4,37.7,OFF
13,87.8,ON
22.4,23.2,OFF
16.7,61.7,OFF
27.1,52.8,OFF
27.2,53.2,OFF
21.3,48.2,OFF
22.8,59.7,OFF
20.5,46.9,OFF
32,88.7,ON
24.6,66.2,OFF
16.2,63,OFF
27.3,25.7,OFF
24.6,23.7,OFF
29.7,37.1,ON
11,58.4,OFF
26,64.8,OFF
30.6,44.1,ON
27.2,71.6,ON
22,64.9,OFF
21.3,28.4,OFF
27.7,40.2,OFF
21,80.7,ON
14.1,44.8,OFF
25.6,85.1,ON
,78.5,ON
